sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	-0.067575	-0.107081	-0.042980	-0.064142	-0.001553	0.006585	0.000710	-0.007977	-0.002231	-0.004764
HG00097	-0.079286	-0.086830	-0.029699	-0.039267	-0.000299	0.000547	-0.002473	0.001421	-0.002317	-0.000322
HG00099	-0.070375	-0.098165	-0.018907	-0.040645	-0.003097	-0.002384	-0.001332	-0.005112	-0.001888	0.004040
HG00100	-0.070025	-0.105338	-0.041058	-0.061476	-0.000370	-0.000346	-0.000990	-0.001098	-0.004796	0.000031
HG00101	-0.068709	-0.084811	-0.034828	-0.027918	0.001273	-0.000144	0.001802	-0.000836	-0.001909	0.001015
HG00102	-0.068289	-0.100361	-0.038856	-0.034549	0.003448	-0.003655	0.002124	-0.001016	0.001509	0.000764
HG00103	-0.067225	-0.098521	-0.036488	-0.024881	-0.001952	-0.003322	0.001134	0.000965	0.000735	0.000391
HG00105	-0.075372	-0.095730	-0.039883	-0.036911	-0.000067	0.001719	-0.003084	0.000248	-0.002938	0.000560
HG00106	-0.075863	-0.083579	-0.032967	-0.038679	-0.002296	0.002798	-0.000606	-0.001574	-0.000518	0.002256
HG00107	-0.071446	-0.088943	-0.037082	-0.026170	-0.004532	-0.001176	0.001285	-0.000466	-0.002179	0.001098
HG00108	-0.068774	-0.077453	-0.027698	-0.015803	-0.001576	-0.003279	0.002043	-0.001426	0.005045	0.001543
HG00109	-0.069452	-0.090206	-0.034551	-0.035639	0.001005	-0.000430	0.002899	0.000055	-0.000973	0.002898
HG00110	-0.069670	-0.099421	-0.029912	-0.048601	-0.002930	0.000125	-0.002021	0.002688	-0.000631	-0.002185
HG00111	-0.074036	-0.087739	-0.032758	-0.020975	-0.001400	-0.001178	0.002606	0.002261	0.002664	0.003597
HG00112	-0.078549	-0.099509	-0.038514	-0.030817	-0.002021	0.001652	-0.001474	-0.001937	-0.000500	-0.002741
HG00113	-0.063928	-0.118064	-0.023865	-0.044577	-0.002342	-0.002061	-0.001451	0.003248	0.001334	-0.000495
HG00114	-0.077947	-0.079038	-0.025023	-0.030600	0.000325	-0.002260	0.002816	0.001790	0.003884	-0.004245
HG00115	-0.067051	-0.093968	-0.028273	-0.028391	0.002685	-0.003840	0.005497	0.000637	0.001728	0.005223
HG00116	-0.078969	-0.091075	-0.046433	-0.038225	0.001929	-0.002058	0.001110	-0.002112	0.000897	-0.002556
HG00117	-0.077725	-0.092072	-0.026830	-0.039446	-0.003260	-0.001453	-0.001541	-0.001563	-0.000965	0.001870
HG00118	-0.069753	-0.095723	-0.022582	-0.030629	0.001256	-0.001238	-0.000863	0.000288	0.002040	0.003357
HG00119	-0.078087	-0.096755	-0.033202	-0.048017	-0.001455	0.003102	0.000443	-0.000093	0.000463	0.003401
HG00120	-0.077588	-0.099199	-0.049444	-0.044574	0.002312	-0.002625	0.002056	-0.000415	0.003425	-0.002336
HG00121	-0.062458	-0.108250	-0.043309	-0.059938	-0.001733	-0.006809	-0.003247	-0.000235	-0.004552	-0.001695
HG00122	-0.072268	-0.092307	-0.027402	-0.047528	-0.002475	0.005074	-0.000837	0.000945	0.003921	-0.002511
HG00123	-0.073093	-0.102474	-0.043222	-0.054246	-0.001845	0.001059	-0.000229	-0.001187	0.000024	-0.001288
