sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	-0.067798	-0.104504	-0.050063	-0.060937	-0.002376	0.004038	-0.002116	0.005587	0.002351	-0.003495
HG00097	-0.079768	-0.081004	-0.030664	-0.038825	0.000419	-0.000779	-0.001517	-0.002278	-0.006043	-0.000079
HG00099	-0.070307	-0.098862	-0.022566	-0.043104	-0.003727	-0.004045	-0.001040	0.002783	0.000141	0.004414
HG00100	-0.070903	-0.103461	-0.046462	-0.061861	0.000813	-0.000241	0.001583	0.002606	-0.003669	0.001737
HG00101	-0.070581	-0.086616	-0.041453	-0.025465	0.001184	0.001387	0.001495	0.002320	0.001801	0.002263
HG00102	-0.064874	-0.098996	-0.039892	-0.035191	0.004403	-0.006119	0.002405	0.001452	0.002365	-0.000229
HG00103	-0.068949	-0.100762	-0.042356	-0.023217	-0.004208	-0.002804	0.001226	-0.000387	0.001510	-0.000345
HG00105	-0.073060	-0.095227	-0.041368	-0.034610	-0.000325	0.002451	-0.001456	-0.001338	-0.004405	0.000919
HG00106	-0.076506	-0.084770	-0.038667	-0.038206	-0.002736	0.003426	-0.001164	-0.000600	-0.000199	0.001085
HG00107	-0.070702	-0.087864	-0.035626	-0.024263	-0.005019	0.001907	0.001299	0.002743	-0.000040	0.000704
HG00108	-0.066514	-0.078260	-0.029593	-0.014581	-0.000965	-0.004565	0.002911	0.002038	0.008921	-0.000343
HG00109	-0.069960	-0.085079	-0.038105	-0.030272	0.001000	0.000508	0.001753	0.003473	0.001186	0.003411
HG00110	-0.070146	-0.098148	-0.036205	-0.045099	-0.002236	0.000148	-0.000871	-0.001314	-0.002059	-0.001604
HG00111	-0.074111	-0.089994	-0.034278	-0.015952	-0.001311	-0.002830	0.003085	-0.003526	0.003881	0.001633
HG00112	-0.078436	-0.099770	-0.040037	-0.029054	-0.002722	0.001935	-0.001221	0.001908	-0.001116	-0.002563
HG00113	-0.065335	-0.118072	-0.024549	-0.042291	-0.002641	-0.000942	-0.000854	-0.003477	0.000881	-0.001179
HG00114	-0.079559	-0.080555	-0.030416	-0.031775	-0.001102	-0.002117	0.003956	0.000294	0.004503	-0.003057
HG00115	-0.067705	-0.097008	-0.029205	-0.027272	0.002034	-0.002817	0.002759	0.001809	0.004581	0.006444
HG00116	-0.081456	-0.090240	-0.051776	-0.036732	-0.000346	-0.000088	0.000140	0.001159	0.000032	-0.001353
HG00117	-0.078382	-0.089970	-0.027867	-0.037004	-0.004090	-0.002359	-0.000829	0.000837	0.000134	-0.000686
HG00118	-0.068646	-0.097219	-0.029194	-0.029397	0.000253	0.000897	-0.001145	-0.002978	0.001626	0.002966
HG00119	-0.078104	-0.098756	-0.037393	-0.045369	-0.000520	0.003224	0.000463	0.000663	0.000703	0.002776
HG00120	-0.079651	-0.101191	-0.056425	-0.044463	0.001631	-0.002547	0.001000	-0.000303	0.000575	-0.003340
HG00121	-0.062461	-0.104939	-0.050204	-0.059122	-0.002348	-0.007401	-0.000695	-0.001539	-0.002684	-0.003129
