#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	-0.0100698	-0.0281763	-0.0166247	-0.0287376	0.000928706	-0.00401166	0.00171059	-0.00286499	0.00551494	0.00173139
HG00097	-0.0118197	-0.0230893	-0.0116617	-0.0178193	3.42995e-05	-0.000365559	-0.00148868	-0.000883989	-0.000785043	0.000934265
HG00099	-0.0104365	-0.0259317	-0.00705787	-0.017975	0.00160803	0.00141919	-0.000117069	-0.00262519	0.00225936	-0.00307951
HG00100	-0.0104113	-0.0277902	-0.0157441	-0.027394	9.97989e-05	0.000266196	-0.00063456	-0.0031004	-0.000139896	0.000608097
HG00101	-0.0101768	-0.0224121	-0.0136818	-0.0118822	-0.000834676	8.47491e-05	0.00129174	-0.00146506	-0.00022488	-0.00025247
HG00102	-0.010152	-0.0267149	-0.015378	-0.0154676	-0.00192093	0.00197286	0.00159946	0.000600183	0.000240701	-0.000967488
HG00103	-0.00991854	-0.0261517	-0.0141983	-0.0105803	0.000862977	0.00185919	0.000679376	0.000742868	-0.000244099	-0.000203042
HG00105	-0.0112129	-0.0255573	-0.0155352	-0.0161595	-0.00012285	-0.000855189	-0.00196468	-0.00182952	-0.000237876	0.000539791
HG00106	-0.0112711	-0.0223255	-0.0127409	-0.0173593	0.0012269	-0.00166846	-0.00021804	-0.00125229	0.00011124	-0.00174497
HG00107	-0.0106505	-0.0235565	-0.0143772	-0.0120298	0.0023629	0.00079016	0.000724644	-0.00148892	-0.000673822	-2.55986e-05
HG00108	-0.0101789	-0.0205464	-0.0107854	-0.00661373	0.000814696	0.00180183	0.00188751	0.00243432	0.00118496	-0.00236235
HG00109	-0.0103056	-0.0238821	-0.0134969	-0.0156321	-0.000592331	0.000101811	0.0017143	-0.000936258	-0.00141097	-0.00150542
HG00110	-0.0103658	-0.0261865	-0.0113566	-0.0219843	0.00147873	3.59678e-05	-0.00170832	0.000509371	-0.000745844	0.00213813
HG00111	-0.0110005	-0.0233377	-0.0126928	-0.00876884	0.000724957	0.000777953	0.00129685	0.00173238	-0.00205159	-0.00204612
HG00112	-0.0117871	-0.0264876	-0.0151411	-0.0144452	0.00101828	-0.000864623	-0.000665865	-0.000316988	0.002089	0.00148787
HG00113	-0.00950393	-0.0313049	-0.00896482	-0.0197655	0.00113131	0.00137363	-0.00140137	0.00155762	-0.00109253	0.000671827
HG00114	-0.0116134	-0.0209094	-0.00961523	-0.0134727	-0.000195277	0.00131683	0.0015035	0.003474	0.000420354	0.00223511
HG00115	-0.0099282	-0.0246919	-0.0109595	-0.0123269	-0.00152333	0.00236226	0.00336023	-2.03618e-05	-0.00260605	-0.00315156
HG00116	-0.0118051	-0.0241342	-0.018175	-0.0170025	-0.00111487	0.00119054	0.00094649	0.000851296	0.00203939	0.00103569
HG00117	-0.0114994	-0.0244775	-0.0103206	-0.0172927	0.00174973	0.000977635	-0.000897589	-0.00148412	0.000416079	-0.00104739
HG00118	-0.0103191	-0.0253802	-0.0087234	-0.013452	-0.000538129	0.000692002	-0.000466867	0.000579225	-0.0006889	-0.00252872
HG00119	-0.0116371	-0.0255773	-0.0126597	-0.0213545	0.000733516	-0.00191781	0.000282474	-1.37977e-05	-0.000700213	-0.00190658
HG00120	-0.0115926	-0.0263059	-0.019311	-0.0202295	-0.0013303	0.00134371	0.00153902	0.00258298	0.00105068	0.000705535
HG00121	-0.0092324	-0.0288168	-0.016709	-0.0268398	0.000758685	0.00415683	-0.00222411	-0.00292264	0.000532255	0.00125556
HG00122	-0.0106952	-0.0242864	-0.0101583	-0.0213484	0.00137284	-0.00316872	-0.000656553	0.00258598	0.000751161	0.000686052
HG00123	-0.0108353	-0.0271064	-0.0168041	-0.0244259	0.000838888	-0.000550646	-0.000133526	-0.00019385	0.000770047	0.000842102
HG00125	-0.0110846	-0.0265266	-0.018977	-0.0153183	0.000661512	-0.00115907	-0.00191487	-0.00200911	-6.60479e-05	0.00154561
HG00126	-0.0116769	-0.0257757	-0.0244612	-0.0169933	0.0010623	-0.00185269	0.000438748	0.00136166	-1.65911e-05	0.00202969
HG00127	-0.0122231	-0.0233889	-0.00948444	-0.0231523	0.00112355	0.000398382	0.00114823	-0.000401799	-0.00145888	-0.00109858
HG00128	-0.0111334	-0.0258331	-0.0135346	-0.0142337	0.00042842	-0.00273397	0.00405532	0.00134383	0.00194673	0.00136293
HG00129	-0.0123314	-0.0267692	-0.0123713	-0.00210145	-2.42697e-05	0.00161623	0.00345744	0.000737147	-0.000300375	-0.00246979
HG00130	-0.0107488	-0.0211828	-0.0100055	-0.0153156	0.00139586	0.00252519	1.26888e-05	0.000823672	0.0009501	-0.00269058
HG00131	-0.0100554	-0.0226464	-0.0157761	-0.0236305	-0.000530467	0.000618988	0.000321495	0.000939661	-0.00332399	-0.000659637
HG00132	-0.0107113	-0.0234167	-0.018741	-0.0183452	0.000147702	0.000260016	-3.74256e-06	-0.00112523	0.000279686	0.000708109
HG00133	-0.0103808	-0.0241486	-0.0200112	-0.0209647	-0.00178928	0.00364646	0.00113182	-0.000198482	0.00054953	-0.00162777
HG00136	-0.00995899	-0.0252554	-0.0135131	-0.00937493	0.00117826	-0.00106915	0.00265842	-0.000270873	0.000253633	-0.000985725
HG00137	-0.0118511	-0.0256095	-0.0154679	-0.0163022	-0.00105909	0.00215056	0.000666871	-0.000722085	0.000915667	-0.000383647
HG00138	-0.0098956	-0.0280074	-0.00815458	-0.00762625	0.00136223	0.000939905	0.00307406	0.0026362	0.00042965	-0.000431049
HG00139	-0.0115273	-0.0247562	-0.0152447	-0.0254915	-0.00176002	-0.00125517	0.00235118	-0.000761292	-0.00179989	-0.000242058
HG00140	-0.0115225	-0.0234268	-0.0102228	-0.0174474	0.00136907	0.00156055	0.00183496	-0.00266921	-0.0001858	-0.000218961
HG00141	-0.0117382	-0.0240542	-0.0137792	-0.0230407	0.00075696	-0.00304079	-0.000842781	-0.00146849	0.00279027	0.00087066
HG00142	-0.00928255	-0.0214449	-0.0108311	-0.0249657	-0.000701581	0.00256526	6.78096e-05	-0.00144955	0.00122639	-0.000805052
HG00143	-0.0119294	-0.0253775	-0.0106638	-0.0240043	0.00304793	5.46162e-05	-0.000211103	0.00132803	0.000289294	-0.0007382
HG00145	-0.0114818	-0.0262255	-0.01511	-0.0238846	0.00211133	-0.000690511	0.00159438	0.000531549	0.0014279	-0.00165356
HG00146	-0.0109248	-0.0271147	-0.0109683	-0.0253069	0.000886161	0.000553727	-0.00105268	0.00228352	-0.000875669	0.00190163
HG00148	-0.0107421	-0.0279497	-0.0127211	-0.00990163	-0.000576192	0.00144425	0.00283281	0.0005296	-0.000485103	-0.00324031
HG00149	-0.00828186	-0.0227572	-0.0167715	-0.0235013	-0.00109057	-0.00471386	-0.00234711	-0.00155889	-0.0027177	-0.00556506
HG00150	-0.01042	-0.0221416	-0.0116321	-0.018527	-0.000223563	0.00059771	0.00196122	0.00152466	-0.00230031	-0.00187591
